date,Year,Month,Hour,weekday,product_code,quantity
2/11/2014,2014,2,276,Tuesday,M01AB,10.0
2/12/2014,2014,2,276,Wednesday,M01AB,9.0
2/13/2014,2014,2,276,Thursday,M01AB,4.33
2/14/2014,2014,2,276,Friday,M01AB,4.0
2/15/2014,2014,2,276,Saturday,M01AB,1.0
2/17/2014,2014,2,276,Monday,M01AB,7.34
2/18/2014,2014,2,276,Tuesday,M01AB,7.34
2/19/2014,2014,2,276,Wednesday,M01AB,3.33
2/20/2014,2014,2,276,Thursday,M01AB,7.0
2/21/2014,2014,2,276,Friday,M01AB,6.0
2/22/2014,2014,2,276,Saturday,M01AB,7.0
2/23/2014,2014,2,276,Sunday,M01AB,1.0
2/24/2014,2014,2,276,Monday,M01AB,7.0
2/25/2014,2014,2,276,Tuesday,M01AB,5.0
2/26/2014,2014,2,276,Wednesday,M01AB,5.0
2/27/2014,2014,2,276,Thursday,M01AB,3.0
2/28/2014,2014,2,276,Friday,M01AB,7.0
3/1/2014,2014,3,276,Saturday,M01AB,6.34
3/2/2014,2014,3,276,Sunday,M01AB,3.34
3/3/2014,2014,3,276,Monday,M01AB,4.0
3/4/2014,2014,3,276,Tuesday,M01AB,5.34
3/5/2014,2014,3,276,Wednesday,M01AB,3.34
3/6/2014,2014,3,276,Thursday,M01AB,3.0
3/7/2014,2014,3,276,Friday,M01AB,4.0
3/8/2014,2014,3,276,Saturday,M01AB,4.34
3/9/2014,2014,3,276,Sunday,M01AB,1.0
3/10/2014,2014,3,276,Monday,M01AB,6.68
3/11/2014,2014,3,276,Tuesday,M01AB,6.0
3/12/2014,2014,3,276,Wednesday,M01AB,6.34
3/13/2014,2014,3,276,Thursday,M01AB,2.31
3/14/2014,2014,3,276,Friday,M01AB,4.34
3/15/2014,2014,3,276,Saturday,M01AB,4.0
3/16/2014,2014,3,276,Sunday,M01AB,2.68
3/17/2014,2014,3,276,Monday,M01AB,8.68
3/18/2014,2014,3,276,Tuesday,M01AB,8.0
3/19/2014,2014,3,276,Wednesday,M01AB,4.0
3/20/2014,2014,3,276,Thursday,M01AB,3.0
3/21/2014,2014,3,276,Friday,M01AB,6.0
3/22/2014,2014,3,276,Saturday,M01AB,3.34
3/23/2014,2014,3,276,Sunday,M01AB,6.34
3/24/2014,2014,3,276,Monday,M01AB,5.68
3/25/2014,2014,3,276,Tuesday,M01AB,4.0
3/26/2014,2014,3,276,Wednesday,M01AB,2.34
3/27/2014,2014,3,276,Thursday,M01AB,4.0
3/28/2014,2014,3,276,Friday,M01AB,2.67
3/29/2014,2014,3,276,Saturday,M01AB,4.0
3/30/2014,2014,3,276,Sunday,M01AB,3.0
3/31/2014,2014,3,276,Monday,M01AB,5.34
4/1/2014,2014,4,276,Tuesday,M01AB,4.34
4/2/2014,2014,4,276,Wednesday,M01AB,2.0
4/3/2014,2014,4,276,Thursday,M01AB,1.0
4/4/2014,2014,4,276,Friday,M01AB,3.0
4/5/2014,2014,4,276,Saturday,M01AB,2.0
4/6/2014,2014,4,276,Sunday,M01AB,2.0
4/7/2014,2014,4,276,Monday,M01AB,6.34
4/8/2014,2014,4,276,Tuesday,M01AB,4.34
4/9/2014,2014,4,276,Wednesday,M01AB,6.0
4/10/2014,2014,4,276,Thursday,M01AB,3.33
4/11/2014,2014,4,276,Friday,M01AB,6.0
4/12/2014,2014,4,276,Saturday,M01AB,7.02
4/13/2014,2014,4,276,Sunday,M01AB,3.0
4/14/2014,2014,4,276,Monday,M01AB,1.34
4/15/2014,2014,4,276,Tuesday,M01AB,4.34
4/16/2014,2014,4,276,Wednesday,M01AB,2.0
4/17/2014,2014,4,276,Thursday,M01AB,5.34
4/18/2014,2014,4,276,Friday,M01AB,7.0
4/19/2014,2014,4,276,Saturday,M01AB,7.34
4/21/2014,2014,4,276,Monday,M01AB,1.34
4/22/2014,2014,4,276,Tuesday,M01AB,5.34
4/23/2014,2014,4,276,Wednesday,M01AB,6.34
4/24/2014,2014,4,276,Thursday,M01AB,2.0
4/25/2014,2014,4,276,Friday,M01AB,3.0
4/26/2014,2014,4,276,Saturday,M01AB,4.34
4/27/2014,2014,4,276,Sunday,M01AB,4.0
4/28/2014,2014,4,276,Monday,M01AB,1.34
4/29/2014,2014,4,276,Tuesday,M01AB,3.33
4/30/2014,2014,4,276,Wednesday,M01AB,4.34
5/2/2014,2014,5,276,Friday,M01AB,7.34
5/3/2014,2014,5,276,Saturday,M01AB,4.0
5/4/2014,2014,5,276,Sunday,M01AB,1.67
5/5/2014,2014,5,276,Monday,M01AB,3.0
5/6/2014,2014,5,276,Tuesday,M01AB,7.34
5/7/2014,2014,5,276,Wednesday,M01AB,3.33
5/8/2014,2014,5,276,Thursday,M01AB,2.0
5/9/2014,2014,5,276,Friday,M01AB,2.0
5/10/2014,2014,5,276,Saturday,M01AB,5.0
5/11/2014,2014,5,276,Sunday,M01AB,2.0
5/12/2014,2014,5,276,Monday,M01AB,4.34
5/13/2014,2014,5,276,Tuesday,M01AB,3.68
5/14/2014,2014,5,276,Wednesday,M01AB,1.0
5/15/2014,2014,5,276,Thursday,M01AB,2.34
5/16/2014,2014,5,276,Friday,M01AB,5.34
5/17/2014,2014,5,276,Saturday,M01AB,2.34
5/18/2014,2014,5,276,Sunday,M01AB,3.34
5/19/2014,2014,5,276,Monday,M01AB,8.34
5/20/2014,2014,5,276,Tuesday,M01AB,1.0
5/21/2014,2014,5,276,Wednesday,M01AB,2.0
5/22/2014,2014,5,276,Thursday,M01AB,3.68
5/23/2014,2014,5,276,Friday,M01AB,5.0
5/24/2014,2014,5,276,Saturday,M01AB,3.0
5/25/2014,2014,5,276,Sunday,M01AB,2.0
5/26/2014,2014,5,276,Monday,M01AB,2.68
5/28/2014,2014,5,276,Wednesday,M01AB,1.34
5/29/2014,2014,5,276,Thursday,M01AB,4.0
5/30/2014,2014,5,276,Friday,M01AB,3.02
5/31/2014,2014,5,276,Saturday,M01AB,5.67
6/1/2014,2014,6,276,Sunday,M01AB,1.0
6/2/2014,2014,6,276,Monday,M01AB,4.0
6/3/2014,2014,6,276,Tuesday,M01AB,3.0
6/4/2014,2014,6,276,Wednesday,M01AB,1.0
6/5/2014,2014,6,276,Thursday,M01AB,0.34
6/6/2014,2014,6,276,Friday,M01AB,5.0
6/7/2014,2014,6,276,Saturday,M01AB,9.0
6/8/2014,2014,6,276,Sunday,M01AB,1.0
6/9/2014,2014,6,276,Monday,M01AB,6.33
6/10/2014,2014,6,276,Tuesday,M01AB,8.68
6/11/2014,2014,6,276,Wednesday,M01AB,4.34
6/12/2014,2014,6,276,Thursday,M01AB,4.34
6/13/2014,2014,6,276,Friday,M01AB,1.0
6/14/2014,2014,6,276,Saturday,M01AB,4.0
6/15/2014,2014,6,276,Sunday,M01AB,0.34
6/16/2014,2014,6,276,Monday,M01AB,4.34
6/17/2014,2014,6,276,Tuesday,M01AB,5.0
6/18/2014,2014,6,276,Wednesday,M01AB,2.0
6/19/2014,2014,6,276,Thursday,M01AB,3.0
6/20/2014,2014,6,276,Friday,M01AB,7.34
6/21/2014,2014,6,276,Saturday,M01AB,6.0
6/22/2014,2014,6,276,Sunday,M01AB,4.0
6/23/2014,2014,6,276,Monday,M01AB,2.34
6/24/2014,2014,6,276,Tuesday,M01AB,3.0
6/25/2014,2014,6,276,Wednesday,M01AB,8.0
6/26/2014,2014,6,276,Thursday,M01AB,3.0
6/27/2014,2014,6,276,Friday,M01AB,4.34
6/28/2014,2014,6,276,Saturday,M01AB,0.34
6/30/2014,2014,6,276,Monday,M01AB,6.0
7/1/2014,2014,7,276,Tuesday,M01AB,4.34
7/2/2014,2014,7,276,Wednesday,M01AB,3.0
7/3/2014,2014,7,276,Thursday,M01AB,2.33
7/4/2014,2014,7,276,Friday,M01AB,4.34
7/5/2014,2014,7,276,Saturday,M01AB,3.34
7/6/2014,2014,7,276,Sunday,M01AB,4.0
7/7/2014,2014,7,276,Monday,M01AB,2.0
7/8/2014,2014,7,276,Tuesday,M01AB,6.34
7/9/2014,2014,7,276,Wednesday,M01AB,3.0
7/10/2014,2014,7,276,Thursday,M01AB,2.33
7/11/2014,2014,7,276,Friday,M01AB,2.0
7/12/2014,2014,7,276,Saturday,M01AB,8.34
7/13/2014,2014,7,276,Sunday,M01AB,2.0
7/14/2014,2014,7,276,Monday,M01AB,5.0
7/15/2014,2014,7,276,Tuesday,M01AB,3.34
7/16/2014,2014,7,276,Wednesday,M01AB,4.0
7/17/2014,2014,7,276,Thursday,M01AB,2.0
7/18/2014,2014,7,276,Friday,M01AB,9.0
7/19/2014,2014,7,276,Saturday,M01AB,7.33
7/20/2014,2014,7,276,Sunday,M01AB,3.0
7/21/2014,2014,7,276,Monday,M01AB,3.0
7/22/2014,2014,7,276,Tuesday,M01AB,5.0
7/23/2014,2014,7,276,Wednesday,M01AB,2.67
7/24/2014,2014,7,276,Thursday,M01AB,5.34
7/25/2014,2014,7,276,Friday,M01AB,5.0
7/26/2014,2014,7,276,Saturday,M01AB,4.0
7/27/2014,2014,7,276,Sunday,M01AB,3.0
7/28/2014,2014,7,276,Monday,M01AB,2.0
7/29/2014,2014,7,276,Tuesday,M01AB,2.34
7/30/2014,2014,7,276,Wednesday,M01AB,0.68
7/31/2014,2014,7,276,Thursday,M01AB,3.0
8/1/2014,2014,8,276,Friday,M01AB,2.0
8/2/2014,2014,8,276,Saturday,M01AB,5.0
8/3/2014,2014,8,276,Sunday,M01AB,5.0
8/4/2014,2014,8,276,Monday,M01AB,4.0
8/5/2014,2014,8,276,Tuesday,M01AB,2.0
8/6/2014,2014,8,276,Wednesday,M01AB,6.0
8/7/2014,2014,8,276,Thursday,M01AB,3.34
8/8/2014,2014,8,276,Friday,M01AB,5.02
8/9/2014,2014,8,276,Saturday,M01AB,4.0
8/10/2014,2014,8,276,Sunday,M01AB,4.0
8/11/2014,2014,8,276,Monday,M01AB,8.0
8/13/2014,2014,8,276,Wednesday,M01AB,1.34
8/14/2014,2014,8,276,Thursday,M01AB,4.0
8/15/2014,2014,8,276,Friday,M01AB,4.34
8/16/2014,2014,8,276,Saturday,M01AB,8.0
8/17/2014,2014,8,276,Sunday,M01AB,0.34
8/18/2014,2014,8,276,Monday,M01AB,4.34
8/19/2014,2014,8,276,Tuesday,M01AB,11.34
8/20/2014,2014,8,276,Wednesday,M01AB,5.34
8/21/2014,2014,8,276,Thursday,M01AB,3.0
8/22/2014,2014,8,276,Friday,M01AB,6.34
8/23/2014,2014,8,276,Saturday,M01AB,3.0
8/24/2014,2014,8,276,Sunday,M01AB,3.0
8/25/2014,2014,8,276,Monday,M01AB,4.01
8/26/2014,2014,8,276,Tuesday,M01AB,2.34
8/27/2014,2014,8,276,Wednesday,M01AB,3.34
8/28/2014,2014,8,276,Thursday,M01AB,2.34
8/29/2014,2014,8,276,Friday,M01AB,6.34
8/30/2014,2014,8,276,Saturday,M01AB,3.68
9/1/2014,2014,9,276,Monday,M01AB,3.34
9/2/2014,2014,9,276,Tuesday,M01AB,2.34
9/3/2014,2014,9,276,Wednesday,M01AB,7.0
9/4/2014,2014,9,276,Thursday,M01AB,5.68
9/5/2014,2014,9,276,Friday,M01AB,4.0
9/6/2014,2014,9,276,Saturday,M01AB,5.34
9/7/2014,2014,9,276,Sunday,M01AB,2.0
9/8/2014,2014,9,276,Monday,M01AB,1.0
9/9/2014,2014,9,276,Tuesday,M01AB,6.34
9/10/2014,2014,9,276,Wednesday,M01AB,4.34
9/12/2014,2014,9,276,Friday,M01AB,2.68
9/13/2014,2014,9,276,Saturday,M01AB,3.0
9/14/2014,2014,9,276,Sunday,M01AB,1.34
9/15/2014,2014,9,276,Monday,M01AB,1.34
9/16/2014,2014,9,276,Tuesday,M01AB,4.0
9/17/2014,2014,9,276,Wednesday,M01AB,2.34
9/18/2014,2014,9,276,Thursday,M01AB,3.0
9/19/2014,2014,9,276,Friday,M01AB,2.0
9/20/2014,2014,9,276,Saturday,M01AB,4.34
9/21/2014,2014,9,276,Sunday,M01AB,1.0
9/22/2014,2014,9,276,Monday,M01AB,3.34
9/23/2014,2014,9,276,Tuesday,M01AB,3.0
9/24/2014,2014,9,276,Wednesday,M01AB,6.0
9/25/2014,2014,9,276,Thursday,M01AB,4.68
9/26/2014,2014,9,276,Friday,M01AB,4.0
9/27/2014,2014,9,276,Saturday,M01AB,4.0
9/28/2014,2014,9,276,Sunday,M01AB,0.34
9/29/2014,2014,9,276,Monday,M01AB,7.0
9/30/2014,2014,9,276,Tuesday,M01AB,10.0
10/1/2014,2014,10,276,Wednesday,M01AB,2.34
10/2/2014,2014,10,276,Thursday,M01AB,2.0
10/3/2014,2014,10,276,Friday,M01AB,4.33
10/4/2014,2014,10,276,Saturday,M01AB,4.68
10/5/2014,2014,10,276,Sunday,M01AB,2.0
10/6/2014,2014,10,276,Monday,M01AB,5.34
10/7/2014,2014,10,276,Tuesday,M01AB,3.0
10/8/2014,2014,10,276,Wednesday,M01AB,3.68
10/9/2014,2014,10,276,Thursday,M01AB,1.0
10/10/2014,2014,10,276,Friday,M01AB,4.34
10/11/2014,2014,10,276,Saturday,M01AB,3.34
10/12/2014,2014,10,276,Sunday,M01AB,3.0
10/13/2014,2014,10,276,Monday,M01AB,1.68
10/14/2014,2014,10,276,Tuesday,M01AB,3.0
10/15/2014,2014,10,276,Wednesday,M01AB,1.33
10/16/2014,2014,10,276,Thursday,M01AB,6.775
10/17/2014,2014,10,276,Friday,M01AB,3.0
10/18/2014,2014,10,276,Saturday,M01AB,4.0
10/19/2014,2014,10,276,Sunday,M01AB,3.33
10/20/2014,2014,10,276,Monday,M01AB,3.34
10/21/2014,2014,10,276,Tuesday,M01AB,2.34
10/22/2014,2014,10,276,Wednesday,M01AB,3.33
10/23/2014,2014,10,276,Thursday,M01AB,1.34
10/24/2014,2014,10,276,Friday,M01AB,3.67
10/25/2014,2014,10,276,Saturday,M01AB,2.33
10/26/2014,2014,10,276,Sunday,M01AB,3.34
10/27/2014,2014,10,276,Monday,M01AB,8.34
10/28/2014,2014,10,276,Tuesday,M01AB,4.0
10/29/2014,2014,10,276,Wednesday,M01AB,5.0
10/31/2014,2014,10,276,Friday,M01AB,2.0
11/1/2014,2014,11,276,Saturday,M01AB,2.33
11/2/2014,2014,11,276,Sunday,M01AB,4.0
11/3/2014,2014,11,276,Monday,M01AB,7.0
11/4/2014,2014,11,276,Tuesday,M01AB,6.33
11/6/2014,2014,11,276,Thursday,M01AB,6.0
11/7/2014,2014,11,276,Friday,M01AB,6.0
11/8/2014,2014,11,276,Saturday,M01AB,12.0
11/9/2014,2014,11,276,Sunday,M01AB,3.34
11/10/2014,2014,11,276,Monday,M01AB,1.0
11/11/2014,2014,11,276,Tuesday,M01AB,8.0
11/12/2014,2014,11,276,Wednesday,M01AB,3.0
11/13/2014,2014,11,276,Thursday,M01AB,8.0
11/14/2014,2014,11,276,Friday,M01AB,5.34
11/15/2014,2014,11,276,Saturday,M01AB,4.33
11/16/2014,2014,11,276,Sunday,M01AB,2.0
11/17/2014,2014,11,276,Monday,M01AB,9.0
11/18/2014,2014,11,276,Tuesday,M01AB,2.67
11/19/2014,2014,11,276,Wednesday,M01AB,1.34
11/20/2014,2014,11,276,Thursday,M01AB,4.0
11/21/2014,2014,11,276,Friday,M01AB,1.34
11/22/2014,2014,11,276,Saturday,M01AB,6.0
11/23/2014,2014,11,276,Sunday,M01AB,4.0
11/24/2014,2014,11,276,Monday,M01AB,4.0
11/25/2014,2014,11,276,Tuesday,M01AB,5.36
11/26/2014,2014,11,276,Wednesday,M01AB,3.0
11/27/2014,2014,11,276,Thursday,M01AB,7.0
11/28/2014,2014,11,276,Friday,M01AB,3.02
11/29/2014,2014,11,276,Saturday,M01AB,3.0
11/30/2014,2014,11,276,Sunday,M01AB,5.68
12/1/2014,2014,12,276,Monday,M01AB,4.34
12/2/2014,2014,12,276,Tuesday,M01AB,6.99
12/3/2014,2014,12,276,Wednesday,M01AB,4.0
12/4/2014,2014,12,276,Thursday,M01AB,3.0
12/5/2014,2014,12,276,Friday,M01AB,2.02
12/6/2014,2014,12,276,Saturday,M01AB,3.34
12/7/2014,2014,12,276,Sunday,M01AB,5.0
12/8/2014,2014,12,276,Monday,M01AB,1.0
12/9/2014,2014,12,276,Tuesday,M01AB,1.0
12/10/2014,2014,12,276,Wednesday,M01AB,3.34
12/11/2014,2014,12,276,Thursday,M01AB,2.34
12/12/2014,2014,12,276,Friday,M01AB,6.34
12/13/2014,2014,12,276,Saturday,M01AB,1.0
12/14/2014,2014,12,276,Sunday,M01AB,10.0
12/15/2014,2014,12,276,Monday,M01AB,5.34
12/16/2014,2014,12,276,Tuesday,M01AB,6.34
12/17/2014,2014,12,276,Wednesday,M01AB,3.0
12/18/2014,2014,12,276,Thursday,M01AB,5.0
12/20/2014,2014,12,276,Saturday,M01AB,1.0
12/21/2014,2014,12,276,Sunday,M01AB,4.33
12/22/2014,2014,12,276,Monday,M01AB,3.34
12/23/2014,2014,12,276,Tuesday,M01AB,10.5
12/24/2014,2014,12,276,Wednesday,M01AB,1.0
12/25/2014,2014,12,276,Thursday,M01AB,8.34
12/26/2014,2014,12,276,Friday,M01AB,3.33
12/27/2014,2014,12,276,Saturday,M01AB,7.33
12/28/2014,2014,12,276,Sunday,M01AB,2.34
12/29/2014,2014,12,276,Monday,M01AB,2.33
12/30/2014,2014,12,276,Tuesday,M01AB,9.0
12/31/2014,2014,12,276,Wednesday,M01AB,5.67
1/2/2015,2015,1,276,Friday,M01AB,6.0
1/3/2015,2015,1,276,Saturday,M01AB,9.0
1/4/2015,2015,1,276,Sunday,M01AB,4.68
1/5/2015,2015,1,276,Monday,M01AB,2.34
1/6/2015,2015,1,276,Tuesday,M01AB,3.0
1/8/2015,2015,1,276,Thursday,M01AB,2.0
1/9/2015,2015,1,276,Friday,M01AB,3.0
1/10/2015,2015,1,276,Saturday,M01AB,6.0
1/11/2015,2015,1,276,Sunday,M01AB,3.0
1/12/2015,2015,1,276,Monday,M01AB,2.33
1/13/2015,2015,1,276,Tuesday,M01AB,10.34
1/14/2015,2015,1,276,Wednesday,M01AB,3.0
1/15/2015,2015,1,276,Thursday,M01AB,6.67
1/16/2015,2015,1,276,Friday,M01AB,6.33
1/17/2015,2015,1,276,Saturday,M01AB,6.68
1/18/2015,2015,1,276,Sunday,M01AB,4.0
1/19/2015,2015,1,276,Monday,M01AB,5.34
1/20/2015,2015,1,276,Tuesday,M01AB,4.34
1/21/2015,2015,1,276,Wednesday,M01AB,4.0
1/22/2015,2015,1,276,Thursday,M01AB,4.0
1/23/2015,2015,1,276,Friday,M01AB,3.67
1/24/2015,2015,1,276,Saturday,M01AB,4.34
1/25/2015,2015,1,276,Sunday,M01AB,4.0
1/26/2015,2015,1,276,Monday,M01AB,8.5
1/27/2015,2015,1,276,Tuesday,M01AB,2.67
1/28/2015,2015,1,276,Wednesday,M01AB,3.0
1/29/2015,2015,1,276,Thursday,M01AB,4.34
1/30/2015,2015,1,276,Friday,M01AB,1.0
1/31/2015,2015,1,276,Saturday,M01AB,8.34
2/1/2015,2015,2,276,Sunday,M01AB,4.34
2/2/2015,2015,2,276,Monday,M01AB,6.0
2/3/2015,2015,2,276,Tuesday,M01AB,3.33
2/4/2015,2015,2,276,Wednesday,M01AB,2.34
2/5/2015,2015,2,276,Thursday,M01AB,2.0
2/6/2015,2015,2,276,Friday,M01AB,3.33
2/7/2015,2015,2,276,Saturday,M01AB,2.0
2/8/2015,2015,2,276,Sunday,M01AB,1.34
2/9/2015,2015,2,276,Monday,M01AB,3.33
2/10/2015,2015,2,276,Tuesday,M01AB,3.66
2/11/2015,2015,2,276,Wednesday,M01AB,3.0
2/12/2015,2015,2,276,Thursday,M01AB,3.0
2/13/2015,2015,2,276,Friday,M01AB,6.01
2/14/2015,2015,2,276,Saturday,M01AB,4.33
2/15/2015,2015,2,276,Sunday,M01AB,11.68
2/16/2015,2015,2,276,Monday,M01AB,3.01
2/17/2015,2015,2,276,Tuesday,M01AB,5.33
2/18/2015,2015,2,276,Wednesday,M01AB,1.0
2/19/2015,2015,2,276,Thursday,M01AB,2.0
2/20/2015,2015,2,276,Friday,M01AB,5.33
2/21/2015,2015,2,276,Saturday,M01AB,3.0
2/22/2015,2015,2,276,Sunday,M01AB,2.0
2/23/2015,2015,2,276,Monday,M01AB,5.0
2/24/2015,2015,2,276,Tuesday,M01AB,3.68
2/25/2015,2015,2,276,Wednesday,M01AB,7.0
2/26/2015,2015,2,276,Thursday,M01AB,6.0
2/27/2015,2015,2,276,Friday,M01AB,6.33
2/28/2015,2015,2,276,Saturday,M01AB,6.34
3/1/2015,2015,3,276,Sunday,M01AB,9.0
3/2/2015,2015,3,276,Monday,M01AB,6.67
3/3/2015,2015,3,276,Tuesday,M01AB,8.0
3/4/2015,2015,3,276,Wednesday,M01AB,9.68
3/5/2015,2015,3,276,Thursday,M01AB,6.0
3/6/2015,2015,3,276,Friday,M01AB,2.0
3/7/2015,2015,3,276,Saturday,M01AB,3.33
3/8/2015,2015,3,276,Sunday,M01AB,6.0
3/9/2015,2015,3,276,Monday,M01AB,2.0
3/10/2015,2015,3,276,Tuesday,M01AB,1.34
3/11/2015,2015,3,276,Wednesday,M01AB,11.0
3/12/2015,2015,3,276,Thursday,M01AB,2.68
3/13/2015,2015,3,276,Friday,M01AB,4.0
3/14/2015,2015,3,276,Saturday,M01AB,2.66
3/15/2015,2015,3,276,Sunday,M01AB,3.34
3/16/2015,2015,3,276,Monday,M01AB,8.0
3/17/2015,2015,3,276,Tuesday,M01AB,5.0
3/18/2015,2015,3,276,Wednesday,M01AB,7.33
3/19/2015,2015,3,276,Thursday,M01AB,2.0
3/20/2015,2015,3,276,Friday,M01AB,1.0
3/21/2015,2015,3,276,Saturday,M01AB,10.33
3/22/2015,2015,3,276,Sunday,M01AB,8.34
3/23/2015,2015,3,276,Monday,M01AB,2.0
3/24/2015,2015,3,276,Tuesday,M01AB,4.0
3/25/2015,2015,3,276,Wednesday,M01AB,3.68
3/26/2015,2015,3,276,Thursday,M01AB,5.0
3/27/2015,2015,3,276,Friday,M01AB,3.0
3/28/2015,2015,3,276,Saturday,M01AB,1.33
3/29/2015,2015,3,276,Sunday,M01AB,6.0
3/30/2015,2015,3,276,Monday,M01AB,6.33
3/31/2015,2015,3,276,Tuesday,M01AB,5.0
4/1/2015,2015,4,276,Wednesday,M01AB,6.34
4/2/2015,2015,4,276,Thursday,M01AB,5.0
4/3/2015,2015,4,276,Friday,M01AB,5.33
4/4/2015,2015,4,276,Saturday,M01AB,3.67
4/5/2015,2015,4,276,Sunday,M01AB,3.34
4/6/2015,2015,4,276,Monday,M01AB,7.33
4/7/2015,2015,4,276,Tuesday,M01AB,6.0
4/8/2015,2015,4,276,Wednesday,M01AB,4.0
4/9/2015,2015,4,276,Thursday,M01AB,1.33
4/10/2015,2015,4,276,Friday,M01AB,9.84
4/11/2015,2015,4,276,Saturday,M01AB,11.68
4/13/2015,2015,4,276,Monday,M01AB,6.67
4/14/2015,2015,4,276,Tuesday,M01AB,4.66
4/15/2015,2015,4,276,Wednesday,M01AB,2.0
4/16/2015,2015,4,276,Thursday,M01AB,2.34
4/17/2015,2015,4,276,Friday,M01AB,9.33
4/18/2015,2015,4,276,Saturday,M01AB,7.33
4/19/2015,2015,4,276,Sunday,M01AB,9.32
4/20/2015,2015,4,276,Monday,M01AB,3.0
4/21/2015,2015,4,276,Tuesday,M01AB,6.33
4/22/2015,2015,4,276,Wednesday,M01AB,1.33
4/23/2015,2015,4,276,Thursday,M01AB,4.0
4/24/2015,2015,4,276,Friday,M01AB,10.0
4/25/2015,2015,4,276,Saturday,M01AB,5.0
4/26/2015,2015,4,276,Sunday,M01AB,7.0
4/27/2015,2015,4,276,Monday,M01AB,3.0
4/28/2015,2015,4,276,Tuesday,M01AB,4.33
4/29/2015,2015,4,276,Wednesday,M01AB,2.0
4/30/2015,2015,4,276,Thursday,M01AB,3.0
5/1/2015,2015,5,276,Friday,M01AB,5.34
5/2/2015,2015,5,276,Saturday,M01AB,5.0
5/3/2015,2015,5,276,Sunday,M01AB,6.67
5/4/2015,2015,5,276,Monday,M01AB,4.0
5/5/2015,2015,5,276,Tuesday,M01AB,3.34
5/6/2015,2015,5,276,Wednesday,M01AB,4.66
5/7/2015,2015,5,276,Thursday,M01AB,2.0
5/8/2015,2015,5,276,Friday,M01AB,1.0
5/9/2015,2015,5,276,Saturday,M01AB,3.66
5/10/2015,2015,5,276,Sunday,M01AB,3.34
5/11/2015,2015,5,276,Monday,M01AB,3.33
5/12/2015,2015,5,276,Tuesday,M01AB,7.33
5/13/2015,2015,5,276,Wednesday,M01AB,8.0
5/14/2015,2015,5,276,Thursday,M01AB,3.0
5/15/2015,2015,5,276,Friday,M01AB,3.34
5/16/2015,2015,5,276,Saturday,M01AB,5.0
5/17/2015,2015,5,276,Sunday,M01AB,5.0
5/18/2015,2015,5,276,Monday,M01AB,7.0
5/19/2015,2015,5,276,Tuesday,M01AB,3.0
5/20/2015,2015,5,276,Wednesday,M01AB,5.67
5/21/2015,2015,5,276,Thursday,M01AB,6.0
5/22/2015,2015,5,276,Friday,M01AB,3.0
5/23/2015,2015,5,276,Saturday,M01AB,5.68
5/24/2015,2015,5,276,Sunday,M01AB,5.33
5/25/2015,2015,5,276,Monday,M01AB,9.66
5/26/2015,2015,5,276,Tuesday,M01AB,7.34
5/27/2015,2015,5,276,Wednesday,M01AB,4.0
5/28/2015,2015,5,276,Thursday,M01AB,6.0
5/29/2015,2015,5,276,Friday,M01AB,6.33
5/30/2015,2015,5,276,Saturday,M01AB,14.0
